Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,HAS_INVALID_NAME
b9c610cd-28a6-4636-ccb6-c7a0d2a4cb85,2019-02-17,,999-65-3251,UNKNOWN,UNKNOWN,,Damon,Langosh,,,,white,nonhispanic,M,Middleborough  Massachusetts  US,620 Lynch Tunnel Apt 0,Springfield,Massachusetts,Hampden County,01104,42.0803894250156,-72.4804314491774,9039.1645,7964.1255,False
c1f1fcaa-82fd-d5b7-3544-c8f9708b06a8,2005-07-04,,999-49-3323,S99941126,UNKNOWN,,Thi,Wunsch,,,,white,nonhispanic,F,Danvers  Massachusetts  US,972 Tillman Branch Suite 48,Bellingham,Massachusetts,Norfolk County,,42.0352133575282,-71.4825190473775,402723.415,14064.135,False
339144f8-50e1-633e-a013-f361391c4cff,1998-05-11,,999-10-8743,S99996708,X75063318X,Mr.,Chi,Greenfelder,,,,white,nonhispanic,M,Athens  Athens Prefecture  GR,1060 Bernhard Crossroad Suite 15,Boston,Massachusetts,Suffolk County,02131,42.2925566236283,-71.0611604220411,571935.8725,787.5375,False
d488232e-bf14-4bed-08c0-a82f34b6a197,2003-01-28,,999-56-6057,S99929424,UNKNOWN,Ms.,Phillis,Walter,,,,white,nonhispanic,F,Boston  Massachusetts  US,677 Ritchie Terrace,Hingham,Massachusetts,Plymouth County,02043,42.2004908243212,-70.916075575203,582557.803,104782.207,False
217f95a3-4e10-bd5d-fb67-0cfb5e8ba075,1993-12-23,,999-91-4320,S99991143,X44132498X,Mr.,Jerrold,Herzog,,,M,black,nonhispanic,M,Boston  Massachusetts  US,276 Bernier Branch,Revere,Massachusetts,Suffolk County,,42.3818748756275,-70.9992857846878,475826.855,18067.095,False
faac724a-a9e9-be66-fe1e-3044dc0ba8ea,2020-12-04,,999-31-8261,UNKNOWN,UNKNOWN,,Brandon,Watsica,,,,white,nonhispanic,F,Northborough  Massachusetts  US,734 Brakus Pathway Unit 28,New Marlborough,Massachusetts,Berkshire County,,42.1470280113644,-73.2171032035398,31468.04,206.22,False
23d16ee3-8cd4-eeb8-e77e-1e5fbf4c4159,1990-12-15,,999-60-9905,S99950633,X36202735X,Mr.,Rodrigo,Arellano,,,M,black,hispanic,M,Bogota  Bogota  CO,538 Crona Underpass,Revere,Massachusetts,Suffolk County,02151,42.4432615007371,-71.0223215801643,772362.725,2213.085,False
aade3c61-92bd-d079-9d28-0b2b7fde0fbb,1985-06-05,,999-93-3123,S99913090,X72720258X,Mr.,Sal,Hoppe,,,M,white,nonhispanic,M,Merrimac  Massachusetts  US,930 Goldner Stravenue Apt 8,Somerville,Massachusetts,Middlesex County,02138,42.3634598710153,-71.1022528716212,924957.2675,874.3725,False
0288c42c-43a1-9878-4a9d-6b96caa12c40,1979-12-17,,999-68-7908,S99962050,X4451825X,Mrs.,Miki,Kozey,,Morar593,M,white,nonhispanic,F,Northbridge  Massachusetts  US,636 Stamm Gateway,Cambridge,Massachusetts,Middlesex County,02472,42.3374254233211,-71.1066547010483,1134817.5705,226909.9595,False
dc6c06d0-a7d8-100f-c08b-46c93700c188,2006-07-11,,999-30-6555,UNKNOWN,UNKNOWN,,Taylor,Gulgowski,,,,white,nonhispanic,M,East Longmeadow  Massachusetts  US,1037 Hills Extension,Springfield,Massachusetts,Hampden County,01013,42.1350559444783,-72.4817498640713,390675.5775,1826.3325,False
